iter	Passed	Remaining
0	243	48370
1	333	32979
2	416	27327
3	502	24635
4	601	23445
5	717	23201
6	866	23894
7	967	23214
8	1065	22607
9	1186	22550
10	1285	22079
11	1341	21015
12	1440	20727
13	1543	20502
14	1677	20683
15	1804	20750
16	1918	20653
17	2072	20957
18	2204	20998
19	2291	20623
20	2377	20262
21	2500	20230
22	2634	20272
23	2724	19977
24	2827	19789
25	2943	19699
26	3057	19587
27	3179	19528
28	3281	19349
29	3365	19072
30	3469	18914
31	3569	18739
32	3658	18513
33	3753	18326
34	3852	18159
35	3960	18043
36	4065	17909
37	4176	17806
38	4285	17689
39	4412	17650
40	4507	17481
41	4674	17584
42	4804	17542
43	4904	17390
44	4998	17216
45	5093	17053
46	5197	16920
47	5284	16733
48	5369	16547
49	5464	16392
50	5607	16383
51	5764	16406
52	5856	16243
53	5956	16104
54	6059	15975
55	6159	15837
56	6190	15531
57	6278	15371
58	6334	15137
59	6417	14974
60	6508	14830
61	6600	14691
62	6706	14584
63	6856	14569
64	6953	14441
65	7042	14297
66	7143	14179
67	7240	14054
68	7323	13903
69	7415	13770
70	7480	13590
71	7592	13497
72	7728	13446
73	7842	13353
74	7934	13224
75	8037	13114
76	8168	13048
77	8286	12961
78	8373	12825
79	8462	12694
80	8557	12572
81	8668	12473
82	8796	12399
83	8893	12281
84	8989	12162
85	9122	12092
86	9228	11986
87	9314	11855
88	9401	11725
89	9495	11605
90	9632	11537
91	9756	11453
92	9888	11377
93	9977	11251
94	10105	11169
95	10227	11079
96	10359	11000
97	10449	10876
98	10561	10774
99	10707	10707
100	10808	10594
101	10897	10470
102	10987	10347
103	11086	10234
104	11215	10147
105	11306	10026
106	11401	9909
107	11488	9786
108	11586	9673
109	11703	9575
110	11823	9480
111	11937	9379
112	12048	9276
113	12183	9191
114	12270	9069
115	12381	8965
116	12501	8868
117	12622	8771
118	12740	8672
119	12843	8562
120	12929	8441
121	13034	8333
122	13146	8229
123	13241	8116
124	13368	8020
125	13508	7933
126	13671	7858
127	13812	7769
128	13969	7688
129	14086	7585
130	14206	7482
131	14296	7364
132	14387	7248
133	14478	7131
134	14601	7030
135	14711	6922
136	14820	6815
137	14933	6709
138	15033	6597
139	15121	6480
140	15263	6386
141	15355	6272
142	15444	6156
143	15589	6062
144	15720	5962
145	15853	5863
146	15953	5752
147	16091	5653
148	16259	5565
149	16363	5454
150	16462	5342
151	16566	5231
152	16702	5130
153	16881	5042
154	17068	4955
155	17233	4860
156	17345	4750
157	17442	4636
158	17593	4536
159	17784	4446
160	17942	4346
161	18172	4262
162	18295	4152
163	18397	4038
164	18560	3937
165	18752	3840
166	18866	3728
167	18974	3614
168	19068	3497
169	19188	3386
170	19319	3276
171	19412	3160
172	19595	3058
173	19710	2945
174	19812	2830
175	19941	2719
176	20046	2604
177	20155	2491
178	20259	2376
179	20362	2262
180	20462	2147
181	20556	2033
182	20661	1919
183	20755	1804
184	20846	1690
185	20949	1576
186	21048	1463
187	21145	1349
188	21254	1237
189	21347	1123
190	21444	1010
191	21544	897
192	21646	785
193	21755	672
194	21847	560
195	21944	447
196	22042	335
197	22145	223
198	22240	111
199	22324	0
